ticker,filingDate,form,accessionNumber,event_type_final,outstanding_shares_text,outstanding_shares,as_of_date_text,as_of_date_iso,report_date_text,report_date_iso,source_url,exhibit_hint,snippet,score
COSM,2025-04-15 00:00:00+00:00,10-K,0001477932-25-002759,shares_outstanding,"27,284,658",27284658.0,"April 15, 2025",2025-04-15,"December 31, 2024",2024-12-31,https://www.sec.gov/Archives/edgar/data/1474167/000147793225002759/cosm_10k.htm,,"Indicate the number of shares outstanding of each of the registrant’s classes of common stock, as of the latest practicable date: 27,284,658 as of April 15, 2025.",10
COSM,2025-05-15 00:00:00+00:00,10-Q,0001477932-25-003730,shares_outstanding,"28,751,422",28751422.0,"May 15, 2025",2025-05-15,"March 31, 2025",2025-03-31,https://www.sec.gov/Archives/edgar/data/1474167/000147793225003730/cosm_10q.htm,,"Indicate the number of shares outstanding of each of the issuer’s classes of common stock, as of the latest practicable date: 28,751,422 as of May 15, 2025.",10
COSM,2025-08-18 00:00:00+00:00,10-Q,0001477932-25-005997,shares_outstanding,"30,213,876",30213876.0,"August 14, 2025",2025-08-14,"June 30, 2025",2025-06-30,https://www.sec.gov/Archives/edgar/data/1474167/000147793225005997/cosm_10q.htm,,"Indicate the number of shares outstanding of each of the issuer’s classes of common stock, as of the latest practicable date: 30,213,876 as of August 14, 2025.",10
GME,2025-03-25 00:00:00+00:00,10-K,0001628280-25-014731,shares_outstanding,"447,083,981",447083981.0,"March 19, 2025",2025-03-19,"February 1, 2025",2025-02-01,https://www.sec.gov/Archives/edgar/data/1326380/000162828025014731/gme-20250201.htm,,"Outstanding on March 19, 2025: 447,083,981",100
GME,2025-06-10 00:00:00+00:00,10-Q,0001326380-25-000035,shares_outstanding,"447,336,306",447336306.0,"June 5, 2025",2025-06-05,"MAY 3, 2025",2025-05-03,https://www.sec.gov/Archives/edgar/data/1326380/000132638025000035/gme-20250503.htm,,"Outstanding on June 5, 2025: 447,336,306",100
GME,2025-09-09 00:00:00+00:00,10-Q,0001326380-25-000075,shares_outstanding,"447,666,484",447666484.0,"September 5, 2025",2025-09-05,"AUGUST 2, 2025",2025-08-02,https://www.sec.gov/Archives/edgar/data/1326380/000132638025000075/gme-20250802.htm,,"Outstanding on September 5, 2025: 447,666,484",100
