Ticker,Name,Price,Volume,MarketCap,ticker,transactions,market_cap,dollar_volume,date,rank_dollar_volume,rank_trading_volume,rank_transactions,todays_change_perc,rank_change_perc
ENPH,"Enphase Energy, Inc.",29.53,5729728,3864287488,ENPH,80810.0,3864287488,169198867.84,2025-11-04,147,184,136,-0.03388681802779248,3688.0
CLF,Cleveland-Cliffs Inc.,10.835,15554722,6172780544,CLF,114361.0,6172780544,168535412.87,2025-11-04,148,72,103,-8.635214827295693,11404.0
CORZ,"Core Scientific, Inc.",21.955,7660945,6807395840,CORZ,164012.0,6807395840,168196047.475,2025-11-04,149,131,71,-5.6768558951964945,10802.0
PBR,Petroleo Brasileiro S.A. Petrob,11.815,14065705,73606381568,PBR,50223.0,73606381568,166186304.575,2025-11-04,150,78,172,-0.21150592216582365,4351.0
CPNG,"Coupang, Inc.",31.775,5160504,57927897088,CPNG,74758.0,57927897088,163975014.6,2025-11-04,151,214,143,-0.969355847404624,6664.0
AG,First Majestic Silver Corp.,11.695,13999530,5744265216,AG,44247.0,5744265216,163724503.35,2025-11-04,152,80,181,-6.829073482428119,11138.0
BULL,Webull Corporation,9.695,16741547,4794146816,BULL,72005.0,4794146816,162309298.165,2025-11-04,153,68,146,-6.714975845410631,11117.0
EOSE,"Eos Energy Enterprises, Inc.",14.67,10342072,4096104448,EOSE,120514.0,4096104448,151718196.24,2025-11-04,154,106,98,-7.970550576184375,11330.0
RXRX,"Recursion Pharmaceuticals, Inc.",5.1182,28933896,2234342656,RXRX,97316.0,2234342656,148089466.5072,2025-11-04,155,36,121,-6.525735294117655,11069.0
ELAN,Elanco Animal Health Incorporat,22.67,6461113,11262766080,ELAN,56299.0,11262766080,146473431.71,2025-11-04,156,164,162,-1.2691466083151102,7434.0
KEY,KeyCorp,17.35,8407722,19309719552,KEY,52490.0,19309719552,145873976.70000002,2025-11-04,157,124,170,-1.1402508551881374,7130.0
DOW,Dow Inc.,22.875,6351758,16258803712,DOW,93194.0,16258803712,145296464.25,2025-11-04,158,168,126,-1.743435213086531,8254.0
HAL,Halliburton Company,27.015,5258468,22736543744,HAL,74238.0,22736543744,142057513.02,2025-11-04,159,208,144,-0.9381898454746099,6572.0
HPQ,HP Inc.,26.295,5150349,24577984512,HPQ,76221.0,24577984512,135428426.955,2025-11-04,160,216,142,-2.9803776379118965,9490.0
ROIV,Roivant Sciences Ltd.,19.65,6638612,13418626048,ROIV,49772.0,13418626048,130448725.8,2025-11-04,161,160,173,-0.17857142857142927,4216.0
BTG,B2Gold Corp,4.035,32315620,5349772800,BTG,66537.0,5349772800,130393526.7,2025-11-04,162,29,151,-5.294117647058815,10673.0
CCCS,CCC Intelligent Solutions Holdi,8.75,14777907,5617671680,CCCS,0.0,5617671680,129306686.25,2025-11-04,163,75,218,,
AMCR,Amcor plc,7.9201,15935202,18282442752,AMCR,54713.0,18282442752,126208393.36019999,2025-11-04,164,70,165,0.8905852417302722,920.0
CZR,"Caesars Entertainment, Inc.",19.91,6283844,4063789056,CZR,83299.0,4063789056,125111334.04,2025-11-04,165,172,135,-2.5427872860635676,9124.0
KGC,Kinross Gold Corporation,22.74,5336702,27800186880,KGC,44349.0,27800186880,121356603.47999999,2025-11-04,166,203,180,-3.2051282051282057,9660.0
ET,Energy Transfer LP,16.6824,7268097,57265364992,ET,39341.0,57265364992,121249301.3928,2025-11-04,167,148,191,-1.1289364230540566,7092.0
PSLV,"""Sprott Physical Silver Trust""",15.6901,7658596,8706435072,PSLV,10047.0,8706435072,120164137.09959999,2025-11-04,168,132,217,-2.1888680425265767,8777.0
UPWK,Upwork Inc.,17.62,6719852,2336527872,UPWK,40725.0,2336527872,118403792.24000001,2025-11-04,169,157,188,12.111324376199608,82.0
COMP,"Compass, Inc.",8.475,13918545,4725163520,COMP,56171.0,4725163520,117959668.875,2025-11-04,170,81,163,8.933161953727499,129.0
HL,Hecla Mining Company,12.17,9604372,8153700864,HL,70027.0,8153700864,116885207.24,2025-11-04,171,111,147,-5.211598746081498,10657.0
SBET,"SharpLink Gaming, Inc.",12.225,9369108,2404574208,SBET,65716.0,2404574208,114537345.3,2025-11-04,172,114,152,-7.944996180290291,11328.0
PONY,Pony AI Inc.,16.58,6873413,5890750464,PONY,48632.0,5890750464,113961187.53999999,2025-11-04,173,155,174,-10.146898803046781,11572.0
FHN,First Horizon Corporation,21.275,5276100,10637499392,FHN,38473.0,10637499392,112249027.49999999,2025-11-04,174,206,193,-0.7222739981360723,5987.0
ERIC,Ericsson,9.835,11120315,32414785536,ERIC,29755.0,32414785536,109368298.025,2025-11-04,175,97,204,-4.333008763388514,10280.0
GT,The Goodyear Tire & Rubber Comp,7.41,14756206,2119604224,GT,50932.0,2119604224,109343486.46000001,2025-11-04,176,76,171,6.799709724238035,178.0
TEVA,Teva Pharmaceutical Industries ,20.25,5377519,23402528768,TEVA,61751.0,23402528768,108894759.75,2025-11-04,177,200,157,-1.9005847953216402,8473.0
ASX,"ASE Technology Holding Co., Ltd",15.555,6748679,33934796800,ASX,30542.0,33934796800,104975701.845,2025-11-04,178,156,201,-4.354539839407052,10290.0
FSM,Fortuna Mining Corp.,7.9437,13041493,2440131328,FSM,25006.0,2440131328,103597707.94409999,2025-11-04,179,88,207,-4.190997566909987,10205.0
STLA,Stellantis N.V.,9.87,10393917,28511705088,STLA,42648.0,28511705088,102587960.78999999,2025-11-04,180,105,185,-3.4735812133072446,9833.0
HST,"Host Hotels & Resorts, Inc.",15.93,6423406,11094128640,HST,43664.0,11094128640,102324857.58,2025-11-04,181,166,183,-1.0849349039057592,6983.0
BAX,Baxter International Inc.,17.895,5640823,9191248896,BAX,80466.0,9191248896,100942527.585,2025-11-04,182,189,138,-2.2240527182866616,8815.0
INFY,Infosys Limited,16.31,6098620,68941299712,INFY,44050.0,68941299712,99468492.19999999,2025-11-04,183,177,182,-0.6703229737964621,5804.0
RIG,Transocean Ltd (Switzerland),3.87,25527390,4262577152,RIG,60688.0,4262577152,98790999.3,2025-11-04,184,42,158,-2.6515151515151514,9216.0
ZETA,Zeta Global Holdings Corp.,17.05,5650618,4058595072,ZETA,69912.0,4058595072,96343036.9,2025-11-04,185,187,148,-3.5754824063564277,9889.0
IAG,Iamgold Corporation,11.0,8468566,6352415744,IAG,28998.0,6352415744,93154226.0,2025-11-04,186,123,205,-4.900260190806587,10556.0
ADT,ADT Inc.,8.14,11409583,6675456512,ADT,34656.0,6675456512,92874005.62,2025-11-04,187,94,195,-7.679180887372001,11292.0
ITUB,Itau Unibanco Banco Holding SA,7.4053,12189621,73632497664,ITUB,23497.0,73632497664,90267800.39130001,2025-11-04,188,92,210,-0.8032128514056172,6221.0
PL,Planet Labs PBC,13.155,6656064,4050727168,PL,54083.0,4050727168,87560521.92,2025-11-04,189,159,166,-1.781652767247911,8313.0
VLY,Valley National Bancorp,10.7387,8035945,6022095360,VLY,39644.0,6022095360,86295602.5715,2025-11-04,190,125,190,-1.9652650822669093,8562.0
WRD,WERIDE INC.,9.499,8941379,2971180288,WRD,42762.0,2971180288,84934159.121,2025-11-04,191,120,184,-13.256880733944957,11725.0
CVE,Cenovus Energy Inc,16.65,5083794,29142833152,CVE,39993.0,29142833152,84645170.1,2025-11-04,192,218,189,-2.582159624413132,9155.0
UEC,Uranium Energy Corp.,13.285,6203252,6418609664,UEC,78736.0,6418609664,82410202.82000001,2025-11-04,193,174,139,-6.428571428571431,11038.0
LCID,"Lucid Group, Inc.",16.42,5017882,5045865984,LCID,97374.0,5045865984,82393622.44000001,2025-11-04,194,219,120,-1.5324519230769171,7921.0
AES,The AES Corporation,13.4499,5811930,9576994816,AES,53688.0,9576994816,78169877.307,2025-11-04,195,183,167,-1.431718061673998,7765.0
FUBO,fuboTV Inc.,3.685,20310817,4755769344,FUBO,106169.0,4755769344,74845360.645,2025-11-04,196,54,112,5.780346820809254,215.0
RITM,Rithm Capital Corp.,10.94,6402827,6062911488,RITM,30979.0,6062911488,70046927.38,2025-11-04,197,167,199,-1.2195121951219492,7327.0
AUR,"Aurora Innovation, Inc.",4.62,14739753,8941413376,AUR,52883.0,8941413376,68097658.86,2025-11-04,198,77,169,-9.306930693069303,11494.0
CNH,CNH Industrial N.V.,10.325,6430680,12914717696,CNH,40838.0,12914717696,66396770.99999999,2025-11-04,199,165,187,-0.6724303554274763,5810.0
PR,Permian Resources Corporation,12.365,5337937,10411410432,PR,47577.0,10411410432,66003591.005,2025-11-04,200,202,177,-2.22045995241871,8809.0
EQX,Equinox Gold Corp.,10.445,6207764,8204431360,EQX,30855.0,8204431360,64840094.980000004,2025-11-04,201,173,200,-4.193548387096775,10208.0
NXE,Nexgen Energy Ltd.,8.765,7284610,5751237632,NXE,36020.0,5751237632,63849606.650000006,2025-11-04,202,147,194,-5.196936542669599,10655.0
GTM,ZoomInfo Technologies Inc.,11.6,5437297,3696117248,GTM,95551.0,3696117248,63072645.199999996,2025-11-04,203,199,123,-1.5677966101694956,7972.0
AVTR,"Avantor, Inc.",11.575,5093138,7892006912,AVTR,56410.0,7892006912,58953072.349999994,2025-11-04,204,217,161,-1.0702054794520548,6946.0
HLN,Haleon plc,9.305,6312288,41434578944,HLN,24351.0,41434578944,58735839.839999996,2025-11-04,205,170,209,-0.7995735607676019,6209.0
EXK,Endeavour Silver Corporation,7.655,7615867,2221260800,EXK,27663.0,2221260800,58299461.885000005,2025-11-04,206,133,206,-6.61764705882353,11089.0
CX,"Cemex, S.A.B. de C.V. Sponsored",10.115,5253354,14698587136,CX,22172.0,14698587136,53137675.71,2025-11-04,207,209,211,-0.2955665024630654,4636.0
FOLD,"Amicus Therapeutics, Inc.",9.17,5261282,2826554880,FOLD,41724.0,2826554880,48245955.94,2025-11-04,208,207,186,4.627539503386006,264.0
BBD,Banco Bradesco Sa,3.405,13604089,32592713728,BBD,24546.0,32592713728,46321923.044999994,2025-11-04,209,83,208,-1.4405797101449296,7774.0
CRGY,Crescent Energy Company,8.205,5596238,2089247616,CRGY,47134.0,2089247616,45917132.79,2025-11-04,210,192,178,-4.156908665105371,10181.0
BB,BlackBerry Limited,4.69,8961273,2777820928,BB,16161.0,2777820928,42028370.370000005,2025-11-04,211,119,213,-2.7083333333333313,9277.0
PTON,"Peloton Interactive, Inc.",6.99,5377272,2918977280,PTON,38723.0,2918977280,37587131.28,2025-11-04,212,201,192,-3.920220082530939,10071.0
ABEV,Ambev S.A.,2.385,15726047,37350313984,ABEV,31186.0,37350313984,37506622.095,2025-11-04,213,71,198,1.497872340425537,657.0
MPW,"Medical Properties Trust, Inc.",4.92,7211358,2957589248,MPW,30122.0,2957589248,35479881.36,2025-11-04,214,149,202,-3.4381139489194465,9806.0
PTEN,"Patterson-UTI Energy, Inc.",6.0445,5630260,2292328192,PTEN,29879.0,2292328192,34032106.57,2025-11-04,215,190,203,-6.171875000000007,10965.0
LYG,Lloyds Banking Group Plc,4.635,5173282,68380495872,LYG,10436.0,68380495872,23978162.07,2025-11-04,216,212,216,-2.320675105485239,8913.0
GGB,Gerdau S.A.,3.42,6951479,6483592192,GGB,14247.0,6483592192,23774058.18,2025-11-04,217,154,215,-1.7241379310344844,8226.0
IBRX,"ImmunityBio, Inc.",2.125,5885349,2093051008,IBRX,20587.0,2093051008,12506366.625,2025-11-04,218,180,212,-6.415929203539806,11033.0
IQ,"iQIYI, Inc.",2.2,5454427,2118509568,IQ,15915.0,2118509568,11999739.4,2025-11-04,219,197,214,-2.8888888888888866,9435.0
